InfraredT,H,RollAngle,PitchingAngle,HeadingAngle,GPS,LowSpeed,A_10,A_10_2,A_30,A_30_2,A_30_10,A_30_MAX,A_80,A_80_2,A_80_10,A_100,A_100_2,A_100_10,A_1_2_T,A_30_T,A_80_T,A_100_T,A_10_T,A_1_5_H,A_30_H,A_80_H,A_100_H
25.2,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.2,2.3,2.9,3.2,3.4,3.4,3.3,3.9,4,3.6,4,4.1,24.2,24.2,23.6,23.4,24.2,84,83,84,95
25.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.1,2.2,3.3,3.3,3.3,3.4,3.8,3.7,3.9,3.9,3.8,4,24.2,24.2,23.7,23.6,24.2,84,83,84,95
25.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.9,2.6,2.7,3.3,3.3,3.4,3.8,3.8,3.9,4.2,4.1,4,24.2,24.2,23.6,23.5,24.2,84,83,84,95
25.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.5,2.4,2.8,3.1,3.3,3.4,3.8,3.8,3.9,3.9,3.9,4,24.2,24.2,23.6,23.5,24.2,84,83,84,95
25.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.3,2.4,3.2,3.2,3.3,3.4,4.7,4.1,4,4.7,4.2,4.1,24.2,24.2,23.6,23.4,24.2,84,83,84,95
25.5,599.83,0.756304,-2.016811,-56.023813,-58.418777,20.74,2.2,2.3,3.2,3.3,3.3,3.4,4,4.2,4,3.8,4.2,4.1,24.2,24.2,23.6,23.5,24.2,84,83,84,94
25.2,599.83,0.756304,-2.016811,-56.023813,-58.418777,20.74,2,2.5,3.4,3.3,3.3,3.4,4.5,4.3,4.1,4.7,4.4,4.2,24.2,24.2,23.6,23.5,24.2,84,83,84,95
25.2,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.6,2.5,2.7,3.3,3.3,3.4,3.9,4.2,4.1,4,4.3,4.2,24.2,24.2,23.6,23.5,24.2,85,83,84,94
25.2,599.83,0.756304,-2.016811,-56.023813,-58.418777,20.74,2.5,2.4,3.7,3.3,3.3,3.4,4.4,4.2,4.1,4.5,4.4,4.2,24.2,24.1,23.6,23.5,24.2,85,83,84,94
25,599.83,0.756304,-2.016811,-56.023813,-58.418777,20.74,3,2.6,2.4,3.3,3.3,3.4,3.8,4.1,4.1,4.6,4.3,4.2,24.2,24.1,23.7,23.5,24.2,85,83,84,94
25.1,599.83,0.756304,-2.016811,-56.023813,-58.418777,20.74,2.9,2.6,3.5,3.3,3.3,3.4,4.3,3.9,4.1,4.1,4.2,4.2,24.2,24.1,23.7,23.5,24.2,85,83,84,95
26.6,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2,2.6,2.6,3.1,3.3,3.4,4,4.1,4.1,3.9,4.2,4.2,24.2,24.2,23.7,23.5,24.2,85,83,84,95
25,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.6,2.4,3.1,3.2,3.3,3.4,3.5,3.9,4,3.4,4,4.1,24.2,24.2,23.7,23.6,24.2,85,83,84,95
26.6,599.98,0.120321,-1.231859,-56.155594,-58.206782,20.892,2.9,2.7,3.1,3.3,3.3,3.4,3.9,3.9,4,3.8,4.1,4.2,24.2,24.2,23.6,23.5,24.2,85,83,85,95
25.2,599.98,0.120321,-1.231859,-56.155594,-58.206782,20.892,2.4,2.6,2.6,3,3.2,3.4,3.9,4,4,4.1,4.1,4.2,24.2,24.2,23.6,23.5,24.2,85,83,84,95
26.6,599.98,0.120321,-1.231859,-56.155594,-58.206782,20.892,2.2,2.5,3,3,3.2,3.4,3.7,3.9,4,3.9,4,4.1,24.2,24.1,23.6,23.5,24.2,85,83,85,96
25.2,599.74,0.561499,-0.974028,-56.218619,-58.23543,20.972,2.8,2.5,3,3.1,3.2,3.4,3.9,3.9,4,4.2,4,4.1,24.2,24.1,23.6,23.5,24.2,85,83,85,96
26.6,599.74,0.561499,-0.974028,-56.218619,-58.23543,20.972,1.8,2.2,2.7,2.7,3.1,3.4,4.5,4.1,4,4.8,4.3,4.2,24.2,24.1,23.6,23.4,24.2,85,83,85,95
26.5,599.74,0.561499,-0.974028,-56.218619,-58.23543,20.972,2.2,2.2,3.3,2.9,3,3.4,3.9,4.1,4,3.6,4.2,4.2,24.2,24.1,23.7,23.5,24.2,85,84,85,96
26.5,599.74,0.561499,-0.974028,-56.218619,-58.23543,20.972,2.3,2.3,2.5,3,3.1,3.4,3.6,3.8,4,3.9,3.8,4.1,24.2,24.2,23.7,23.5,24.2,85,84,85,96
26.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.3,2.5,3.3,3.2,3.1,3.4,3.7,3.9,3.9,3.5,3.8,4,24.2,24.2,23.7,23.5,24.2,85,84,85,96
26.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,2.5,2.6,2.8,2.9,3.1,3.4,3,3.7,3.9,3.4,3.6,3.9,24.2,24.2,23.7,23.5,24.2,85,84,86,97
26.5,599.82,0.905273,-1.163104,-56.843143,-59.071949,20.917,1.8,2.3,3.3,2.9,3,3.4,3.8,3.8,3.9,3.4,3.6,3.9,24.2,24.1,23.6,23.5,24.2,85,84,86,96
