feature,importances
InfraredT,0.22207084
H,0.046321526
RollAngle,0.046321526
PitchingAngle,0.044959128
HeadingAngle,0.036784742
GPS,0.014986376
LowSpeed,0.028610354
A_10,0.051771116
A_10_2,0.029972753
A_30,0.04223433
A_30_2,0.035422344
A_30_10,0.020435967
A_30_MAX,0.013623978
A_80,0.03950954
A_80_2,0.01907357
A_80_10,0.012261581
A_100,0.023160763
A_100_2,0.01907357
A_100_10,0.012261581
A_1_2_T,0.032697547
A_30_T,0.021798365
A_80_T,0.027247956
A_100_T,0.025885558
A_10_T,0.012261581
A_1_5_H,0.035422344
A_30_H,0.028610354
A_80_H,0.024523161
A_100_H,0.032697547
